meld 3.22.3-1
mesa 1:25.0.2-2
mesa-utils 9.0.0-5
meson 1.7.0-1
minizip 1:1.3.1-2
minizip-ng 4.0.8-1
mjpegtools 2.2.1-2
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mpdecimal 4.0.0-2
mpfr 4.2.2-1
mpg123 1.32.10-1
mpv 1:0.40.0-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.48-1
mujs 1.3.6-1
multimc-bin 0.7.0.4042-2
mutter-x11-scaling 48.0-2
nano 8.3-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
nautilus 48.0-1
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.11.0-2
net-tools 2.10-3
netctl 1.29-2
nettle 3.10.1-1
networkmanager 1.52.0-1
networkmanager-openconnect 1.2.10-2
networkmanager-openvpn 1.12.0-1
nfs-utils 2.8.2-2
nfsidmap 2.8.2-2
nftables 1:1.1.1-2
nilfs-utils 2.2.11-1
ninja 1.12.1-2
noto-fonts 1:2025.03.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2025.03.01-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
numactl 2.0.19-1
oath-toolkit 2.6.12-1
obsidian 1.8.9-2
ocl-icd 2.3.2-2
onetbb 2022.1.0-1
openal 1.24.2-1
opencascade 1:7.8.1-3
opencolorio 2.4.0-6
openconnect 1:9.12-3
opencore-amr 0.1.6-2
openexr 3.3.3-1
openh264 2.6.0-1
openimagedenoise 2.3.2-2
openimageio 2.5.18.0-2
openjpeg2 2.5.3-1
openmpi 5.0.7-3
openpgl 0.7.0-1
openpmix 5.0.7-1
openshadinglanguage 1.13.12.0-2
openssh 9.9p2-1
openssl 3.4.1-1
opensubdiv 3.6.0-1
openucx 1.18.0-2
openvdb 12.0.0-2
openvpn 2.6.13-1
openxr 1.1.43-1
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250124-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pacutils 0.15.0-1
pahole 1:1.29-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20250322-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.2-1
perl 5.40.1-2
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
perl-xml-writer 0.900-4
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pipewire-alsa 1:1.4.1-1
pipewire-audio 1:1.4.1-1
pipewire-jack 1:1.4.1-1
pipewire-pulse 1:1.4.1-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.4.3-1
pkgfile 24-1
playerctl 2.4.1-4
plocate 1.1.23-1
polkit 126-2
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
power-profiles-daemon 0.30-1
ppp 2.5.2-1
procps-ng 4.0.5-3
prrte 3.0.9-1
psmisc 23.7-1
ptex 2.4.3-1
pugixml 1.15-2
pv 1.9.31-1
pybind11 2.13.6-2
pyside6 6.8.3-1
pystring 1.1.4-2
python 3.13.2-1
python-annotated-types 0.7.0-2
python-anyio 4.8.0-1
python-argcomplete 3.5.3-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-blessed 1.20.0-7
python-cairo 1.27.0-2
python-capng 0.8.5-3
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-contourpy 1.3.1-2
python-cryptography 44.0.2-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-dbusmock 0.34.3-1
python-decouple 3.8-1
python-defusedxml 0.7.1-7
python-deprecation 2.1.0-10
python-devgoldyutils 3.0.0-1
python-distro 1.9.0-3
python-distutils-extra 2.39-14
python-docutils 1:0.21.2-3
python-editor 1.0.4-11
python-filelock 3.18.0-1
python-fonttools 4.56.0-1
